SalesPrice,MSZoning,LotFrontage,LotArea,GrLivArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,pool,OverallQual,OverallCond,YearBuilt,YearRemodAdd,FullBath,KitchenAbvGr,KitchenQual,Fireplaces,GarageCars,GarageArea,OpenPorchSF,MiscVal,Furnished,TotalSqFt
138700,RM,21,2217,1092,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,4,4,1970,1970,1,1,TA,0,1,286,0,0,no,1638
106800,RM,21,1477,630,Reg,Inside,Lafield,Norm,TwnhsE,SFoyer,no,4,4,1970,1970,1,1,TA,0,1,286,0,0,no,1260
125700,RM,21,2001,1092,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,4,5,1970,1970,1,1,TA,0,1,286,0,0,no,1638
129500,RM,21,1936,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,4,6,1970,1970,1,1,TA,0,0,0,0,0,no,1260
297200,RM,21,1533,1344,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,4,6,1970,2008,1,1,TA,1,0,0,0,0,no,1890
154000,RM,21,1869,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,6,1970,1970,1,1,TA,0,1,280,0,0,no,1470
129400,RM,21,1533,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,5,7,1970,1970,1,1,Ex,0,0,0,0,0,no,1260
136500,RM,21,1526,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,4,8,1970,2002,1,1,Gd,0,1,286,0,0,no,1260
138600,RM,21,1680,987,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,6,3,1971,1971,1,1,TA,0,1,264,0,0,no,1470
151900,RM,21,1680,1218,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1971,1971,1,1,TA,0,0,0,0,0,yes,1890
116900,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1971,1971,1,1,TA,0,1,264,0,0,no,1470
124600,RM,21,1680,1092,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1971,1971,1,1,TA,0,1,264,0,0,no,1617
157500,RM,21,1680,1302,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,5,5,1971,1971,2,1,TA,0,1,280,0,0,no,1932
160800,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1972,1972,1,1,TA,1,1,288,0,0,no,1470
99100,RM,21,1491,630,Reg,Inside,Lafield,Norm,TwnhsE,SFoyer,no,4,6,1972,1972,1,1,TA,0,0,0,24,0,no,1260
134300,RM,21,1890,630,Reg,Inside,Lafield,Norm,Twnhs,SFoyer,no,4,7,1972,1972,1,1,TA,0,0,0,0,0,yes,1260
183100,RM,21,1680,1218,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,7,1972,1972,1,1,TA,0,1,264,28,0,no,1890
152100,RM,21,1680,1302,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,5,7,1972,1972,2,1,TA,0,1,264,0,0,no,1932
270600,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,8,1972,2007,1,1,Gd,0,1,264,0,0,no,1470
160800,RM,21,1953,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1973,1973,1,1,TA,0,1,264,0,0,no,1470
188200,RM,21,1890,1218,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1973,1973,1,1,TA,0,1,264,28,0,no,1890
175500,RM,21,1680,987,Reg,Inside,Lafield,Norm,Twnhs,2Story,no,6,5,1973,1973,1,1,TA,0,1,264,0,0,no,1470
123600,RM,21,1596,988,Reg,Inside,Lafield,Norm,Twnhs,SLvl,no,4,5,1973,1973,1,1,TA,0,1,297,101,0,no,1450
174400,RM,24,2016,1302,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,5,1970,1970,2,1,TA,0,2,440,0,0,no,1932
181500,RM,24,2368,1365,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,6,1970,1970,1,1,TA,0,2,440,36,0,no,2130
204400,RM,24,1920,1365,Reg,Inside,Lafield,Norm,TwnhsE,2Story,no,5,5,1971,1971,1,1,TA,0,2,440,36,0,yes,2130
245900,RL,24,2308,1322,Reg,Inside,Tane,Norm,TwnhsE,2Story,no,6,5,1974,1974,2,1,TA,1,2,440,0,0,no,2177
245300,RL,24,2308,1548,Reg,Corner,Tane,Norm,TwnhsE,2Story,no,6,6,1976,1976,2,1,Gd,1,2,440,0,0,no,2352
267500,RL,24,2280,1456,Reg,FR2,Tane,Norm,Twnhs,2Story,no,6,6,1976,1976,2,1,TA,1,2,440,0,0,no,2311
215100,RL,24,2280,1456,Reg,Inside,Tane,Norm,Twnhs,2Story,no,6,5,1978,1978,2,1,TA,1,2,440,0,0,no,2311
231500,RL,24,2289,1441,Reg,Inside,Tane,Norm,Twnhs,2Story,no,6,6,1978,1978,2,1,TA,1,2,440,0,0,no,2296
240700,RM,24,1950,1556,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,6,6,1980,1980,2,1,TA,1,2,452,0,0,no,2272
169400,RM,24,1300,1229,Reg,Inside,Tistin,Norm,TwnhsE,2Story,no,6,6,1980,1980,1,1,TA,1,2,462,0,0,no,1790
357000,FV,24,2280,1501,Reg,Inside,Todon,Norm,Twnhs,2Story,no,7,5,1999,1999,2,1,TA,0,2,440,0,0,no,2245
387800,FV,24,2160,1252,Reg,Inside,Todon,Norm,Twnhs,2Story,yes,7,5,1999,2000,2,1,Gd,0,2,462,48,0,no,1852
373500,FV,24,2645,1739,Reg,Inside,Todon,Norm,Twnhs,2Story,no,8,5,1999,2000,2,1,Gd,0,2,480,0,0,yes,2709
309300,FV,24,2572,1416,Reg,FR2,Todon,Norm,Twnhs,2Story,no,7,5,1999,1999,2,1,Gd,0,2,484,44,0,no,2112
354200,FV,24,2645,1441,Reg,Inside,Todon,Norm,Twnhs,2Story,no,8,5,1999,2000,2,1,Gd,0,2,492,0,0,yes,2217
341900,RM,24,2522,1709,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,6,5,2004,2006,2,1,Gd,0,2,380,40,0,no,2679
361500,RM,24,2522,1709,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,7,5,2004,2004,2,1,Gd,0,2,380,40,0,no,2679
346300,RM,24,2522,1709,Reg,Inside,Tistin,Norm,Twnhs,2Story,no,7,5,2004,2004,2,1,Gd,0,2,380,40,0,no,2679
429900,FV,24,2544,1223,Reg,Inside,Todon,Norm,Twnhs,2Story,no,7,5,2005,2005,2,1,Gd,0,2,480,166,0,no,1743
388700,RM,30,5232,764,IR3,Inside,Tistin,Artery,1Fam,1Story,yes,5,5,1925,2004,1,1,TA,0,2,504,0,0,yes,1444
494200,RL,30,9549,1494,IR1,CulDSac,Todon,Norm,TwnhsE,1Story,no,8,5,1995,1996,1,1,Ex,1,2,481,30,0,no,2988
416500,FV,30,3182,1200,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2004,2005,2,1,Gd,0,2,480,172,0,no,1800
438700,FV,30,3180,1200,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2005,2005,2,1,Gd,0,2,480,166,0,no,1720
435800,FV,30,3180,1200,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,7,5,2005,2005,2,1,Gd,0,2,480,166,0,no,1720
476100,FV,30,3000,1224,Reg,Inside,Todon,Norm,TwnhsE,2Story,no,6,5,2009,2009,2,1,Gd,0,2,528,234,0,no,1836
547100,RL,32,10846,1719,IR1,CulDSac,Todon,Norm,TwnhsE,1Story,no,8,5,1993,1993,1,1,Gd,2,2,473,30,0,yes,3438
274800,RM,32,4500,1216,Reg,FR2,Kence,Norm,Twnhs,1Story,no,6,5,1998,1998,2,1,TA,0,2,402,125,0,no,2432
256400,RM,32,4500,1337,Reg,FR2,Kence,Norm,TwnhsE,1Story,no,6,5,1998,1998,2,1,TA,0,2,405,199,0,no,2574
